类别,月票数,时间
[东方玄幻],248978,2014
[体育竞技],643,2014
[古典仙侠],49662,2014
[吸血传奇],470,2014
[奇幻修真],105271,2014
[异世大陆],143280,2014
[探险异闻],137,2014
[推理悬念],148,2014
[星际争霸],168,2014
[末世危机],982,2014
[架空历史],13878,2014
[江湖情仇],488,2014
[灵异神怪],3183,2014
[科技时代],1461,2014
[穿梭时空],17353,2014
[穿越历史],40711,2014
[职场商战],1433,2014
[虚拟网游],1018,2014
[西方奇幻],615,2014
[进化变异],2472,2014
[都市异能],16685,2014
[都市生活],60281,2014
[都市重生],785,2014
[青春校园],323,2014
[东方玄幻],302431,2015
[动漫衍生],1099,2015
[古典仙侠],38342,2015
[吸血传奇],606,2015
[奇幻修真],82882,2015
[异世大陆],72893,2015
[新派武侠],874,2015
[星际争霸],137,2015
[末世危机],738,2015
[架空历史],3288,2015
[江湖情仇],116,2015
[灵异神怪],744,2015
[科技时代],5688,2015
[穿梭时空],3282,2015
[穿越历史],29126,2015
[虚拟网游],768,2015
[西方奇幻],1020,2015
[进化变异],2057,2015
[都市异能],64113,2015
[都市生活],59346,2015
[都市重生],883,2015
[东方玄幻],500269,2016
[古典仙侠],86447,2016
[奇幻修真],57439,2016
[异世大陆],79281,2016
[异术超能],1352,2016
[新派武侠],27599,2016
[末世危机],3141,2016
[架空历史],11587,2016
[江湖情仇],6507,2016
[科技时代],1002,2016
[穿梭时空],954,2016
[穿越历史],14154,2016
[虚拟网游],1223,2016
[西方奇幻],245,2016
[进化变异],21968,2016
[都市异能],163447,2016
[都市生活],304968,2016
[东方玄幻],687140,2017
[传统武侠],7359,2017
[古典仙侠],147655,2017
[奇幻修真],146751,2017
[异世大陆],78791,2017
[新派武侠],5326,2017
[末世危机],4827,2017
[架空历史],18205,2017
[江湖情仇],1248,2017
[王朝争霸],10135,2017
[穿越历史],35999,2017
[转世重生],18501,2017
[进化变异],9797,2017
[都市异能],139537,2017
[都市生活],498539,2017
[都市重生],6427,2017
[青春校园],1519,2017
[东方玄幻],445810,2018
[传统武侠],40353,2018
[古典仙侠],364549,2018
[奇幻修真],76100,2018
[异世大陆],29878,2018
[异术超能],775,2018
[新派武侠],5709,2018
[星际争霸],5271,2018
[末世危机],5633,2018
[架空历史],128862,2018
[王朝争霸],12983,2018
[现代修真],1865,2018
[现代战争],231,2018
[科技时代],114,2018
[穿梭时空],512,2018
[穿越历史],17539,2018
[职场商战],8445,2018
[西方奇幻],1125,2018
[转世重生],3325,2018
[进化变异],9719,2018
[都市异能],95390,2018
[都市生活],307564,2018
[都市重生],84049,2018
[东方玄幻],412822,2019
[传统武侠],7470,2019
[历史传记],626,2019
[原生幻想],220,2019
[古典仙侠],387913,2019
[奇妙物语],8237,2019
[奇幻修真],92594,2019
[异世大陆],55054,2019
[异术超能],600,2019
[推理悬念],4407,2019
[新派武侠],54659,2019
[星际争霸],32343,2019
[末世危机],20975,2019
[架空历史],209469,2019
[游戏小说],2551,2019
[王朝争霸],27624,2019
[现代修真],7901,2019
[科技时代],4392,2019
[穿梭时空],1354,2019
[穿越历史],24667,2019
[职场商战],5733,2019
[虚拟网游],2365,2019
[西方奇幻],15293,2019
[进化变异],6343,2019
[都市异能],112218,2019
[都市生活],274352,2019
[都市重生],47667,2019
